year,level_1,value
2004,Consultation Fees At Polyclinics & General Practitioners,81.437
2004,Medical & Dental Treatment,74.84
2004,Petrol,65.407
2004,Overall Bus And Train Fares,95.43
2004,Taxi Fares,68.619
2004,Miscellaneous Fees For Primary Schools,77.053
2004,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,65.318
2004,Tuition Fees For Polytechnics & Local Universities,76.061
2005,Consultation Fees At Polyclinics & General Practitioners,81.58
2005,Medical & Dental Treatment,75.318
2005,Petrol,70.135
2005,Overall Bus And Train Fares,96.454
2005,Taxi Fares,68.619
2005,Miscellaneous Fees For Primary Schools,82.313
2005,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,70.767
2005,Tuition Fees For Polytechnics & Local Universities,77.796
2006,Consultation Fees At Polyclinics & General Practitioners,82.033
2006,Medical & Dental Treatment,75.788
2006,Petrol,74.441
2006,Overall Bus And Train Fares,97.844
2006,Taxi Fares,72.849
2006,Miscellaneous Fees For Primary Schools,82.756
2006,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,72.623
2006,Tuition Fees For Polytechnics & Local Universities,80.916
2007,Consultation Fees At Polyclinics & General Practitioners,83.934
2007,Medical & Dental Treatment,78.754
2007,Petrol,77.43
2007,Overall Bus And Train Fares,99.199
2007,Taxi Fares,77.99
2007,Miscellaneous Fees For Primary Schools,82.756
2007,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,74.995
2007,Tuition Fees For Polytechnics & Local Universities,82.21
2008,Consultation Fees At Polyclinics & General Practitioners,87.563
2008,Medical & Dental Treatment,82.973
2008,Petrol,90.598
2008,Overall Bus And Train Fares,100.153
2008,Taxi Fares,88.334
2008,Miscellaneous Fees For Primary Schools,82.756
2008,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,77.229
2008,Tuition Fees For Polytechnics & Local Universities,82.644
2009,Consultation Fees At Polyclinics & General Practitioners,89.133
2009,Medical & Dental Treatment,84.873
2009,Petrol,77.821
2009,Overall Bus And Train Fares,97.433
2009,Taxi Fares,88.334
2009,Miscellaneous Fees For Primary Schools,82.756
2009,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,79.757
2009,Tuition Fees For Polytechnics & Local Universities,83.854
2010,Consultation Fees At Polyclinics & General Practitioners,90.164
2010,Medical & Dental Treatment,86.532
2010,Petrol,84.264
2010,Overall Bus And Train Fares,96.541
2010,Taxi Fares,88.334
2010,Miscellaneous Fees For Primary Schools,82.756
2010,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,82.203
2010,Tuition Fees For Polytechnics & Local Universities,86.419
2011,Consultation Fees At Polyclinics & General Practitioners,91.749
2011,Medical & Dental Treatment,88.525
2011,Petrol,94.013
2011,Overall Bus And Train Fares,96.989
2011,Taxi Fares,89.044
2011,Miscellaneous Fees For Primary Schools,82.756
2011,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,84.302
2011,Tuition Fees For Polytechnics & Local Universities,90.156
2012,Consultation Fees At Polyclinics & General Practitioners,96.566
2012,Medical & Dental Treatment,92.845
2012,Petrol,96.993
2012,Overall Bus And Train Fares,97.75
2012,Taxi Fares,99.054
2012,Miscellaneous Fees For Primary Schools,82.756
2012,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,86.713
2012,Tuition Fees For Polytechnics & Local Universities,93.619
2013,Consultation Fees At Polyclinics & General Practitioners,99.599
2013,Medical & Dental Treatment,96.788
2013,Petrol,99.4
2013,Overall Bus And Train Fares,97.75
2013,Taxi Fares,99.231
2013,Miscellaneous Fees For Primary Schools,99.676
2013,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,101.587
2013,Tuition Fees For Polytechnics & Local Universities,96.996
2014,Consultation Fees At Polyclinics & General Practitioners,100
2014,Medical & Dental Treatment,99.987
2014,Petrol,99.999
2014,Overall Bus And Train Fares,100.022
2014,Taxi Fares,100
2014,Miscellaneous Fees For Primary Schools,100
2014,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,100
2014,Tuition Fees For Polytechnics & Local Universities,100
2015,Consultation Fees At Polyclinics & General Practitioners,87.743
2015,Medical & Dental Treatment,99.631
2015,Petrol,95.256
2015,Overall Bus And Train Fares,102.667
2015,Taxi Fares,100.349
2015,Miscellaneous Fees For Primary Schools,100
2015,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,100.072
2015,Tuition Fees For Polytechnics & Local Universities,102.719
2016,Consultation Fees At Polyclinics & General Practitioners,89.541
2016,Medical & Dental Treatment,101.038
2016,Petrol,91.536
2016,Overall Bus And Train Fares,101.731
2016,Taxi Fares,100.682
2016,Miscellaneous Fees For Primary Schools,100
2016,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,101.289
2016,Tuition Fees For Polytechnics & Local Universities,105.649
2017,Consultation Fees At Polyclinics & General Practitioners,91.554
2017,Medical & Dental Treatment,104.33
2017,Petrol,99.861
2017,Overall Bus And Train Fares,97.496
2017,Taxi Fares,100.682
2017,Miscellaneous Fees For Primary Schools,100
2017,School And Miscelleanous Fees For Secondary Schools & Junior Colleges,103.6
2017,Tuition Fees For Polytechnics & Local Universities,108.366
